species	common_name	order	family	pop	author	class	region	location	lon	lat	hybrid	island	habitat_type	doi_data	doi_paper	num_individuals	num_loci	gene_diversity	allelic_richness	global_fst	Ne	Ne_lower	Ne_upper	migratory	migration notes	source_migratory	mating system	source_matingsys	breeding interval	source_breedingint
Artibeus_jamaicensis	Jamaican fruit-eating bat	Chiroptera	Phyllostomidae	ER.24.AJ	Cleary	mammal	SouthAmerica	CostaRica	-84.1516	10.40755	0	0	terrestrial	10.5061/dryad.nv92q	10.1111/mec.14230	18	10	0.718663	4.986997	0.007253	78.3	19.7	NA	n		Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	harem	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	2/yr	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.
Artibeus_jamaicensis	Jamaican fruit-eating bat	Chiroptera	Phyllostomidae	BT.5.AJ	Cleary	mammal	SouthAmerica	CostaRica	-84.2008	10.67353	0	0	terrestrial	10.5061/dryad.nv92q	10.1111/mec.14230	22	10	0.745932	5.06386	-0.02483	113.9	25.6	NA	n		Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	harem	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	2/yr	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.
Artibeus_jamaicensis	Jamaican fruit-eating bat	Chiroptera	Phyllostomidae	ER.36.AJ	Cleary	mammal	SouthAmerica	CostaRica	-84.324	10.4543	0	0	terrestrial	10.5061/dryad.nv92q	10.1111/mec.14230	24	10	0.731404	4.968826	-0.00289	51.8	20.6	NA	n		Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	harem	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	2/yr	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.
Artibeus_jamaicensis	Jamaican fruit-eating bat	Chiroptera	Phyllostomidae	P.6.AJ	Cleary	mammal	SouthAmerica	CostaRica	-84.1164	10.57521	0	0	terrestrial	10.5061/dryad.nv92q	10.1111/mec.14230	12	10	0.703464	4.879867	0.014108	NA	14.5	NA	n		Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	harem	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	2/yr	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.
Artibeus_jamaicensis	Jamaican fruit-eating bat	Chiroptera	Phyllostomidae	BT.9.AJ	Cleary	mammal	SouthAmerica	CostaRica	-84.2765	10.50599	0	0	terrestrial	10.5061/dryad.nv92q	10.1111/mec.14230	12	10	0.684364	4.963814	0.040817	NA	21.1	NA	n		Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	harem	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	2/yr	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.
Artibeus_jamaicensis	Jamaican fruit-eating bat	Chiroptera	Phyllostomidae	ER.14.AJ	Cleary	mammal	SouthAmerica	CostaRica	-84.0827	10.44452	0	0	terrestrial	10.5061/dryad.nv92q	10.1111/mec.14230	17	10	0.736905	4.985617	-0.01972	39.3	13.4	NA	n		Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	harem	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	2/yr	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.
Artibeus_jamaicensis	Jamaican fruit-eating bat	Chiroptera	Phyllostomidae	P.PA.AJ	Cleary	mammal	SouthAmerica	CostaRica	-84.1482	10.53484	0	0	terrestrial	10.5061/dryad.nv92q	10.1111/mec.14230	16	10	0.73391	4.851313	-0.01723	NA	33.1	NA	n		Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	harem	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	2/yr	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.
Artibeus_jamaicensis	Jamaican fruit-eating bat	Chiroptera	Phyllostomidae	BT.LL.AJ	Cleary	mammal	SouthAmerica	CostaRica	-84.1795	10.68167	0	0	terrestrial	10.5061/dryad.nv92q	10.1111/mec.14230	5	10	0.618	4.3	0.078142	443.2	3	NA	n		Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	harem	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	2/yr	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.
Artibeus_jamaicensis	Jamaican fruit-eating bat	Chiroptera	Phyllostomidae	P.10.AJ	Cleary	mammal	SouthAmerica	CostaRica	-84.16	10.58743	0	0	terrestrial	10.5061/dryad.nv92q	10.1111/mec.14230	11	10	0.72686	4.982691	-0.02228	630.7	14.7	NA	n		Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	harem	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	2/yr	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.
Artibeus_jamaicensis	Jamaican fruit-eating bat	Chiroptera	Phyllostomidae	ER.1.AJ	Cleary	mammal	SouthAmerica	CostaRica	-84.108	10.4428	0	0	terrestrial	10.5061/dryad.nv92q	10.1111/mec.14230	27	10	0.737389	5.066715	-0.0087	154.4	36.6	NA	n		Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	harem	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	2/yr	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.
