Data miner	species	common_name	order	family	region	location	island	migratory_class1	migratory_class2	migratory_class_3	migratory distance	mating behaviour	other useful info
Alicia	Artibeus_jamaicensis	Jamaican fruit-eating bat	Chiroptera	Phyllostomidae	SouthAmerica	CostaRica	0	non-migratory	non-migratory	non-migratory	NA	-polygynous, and individuals males defend harems of 4 to 18 females and their young (animaldiversity.org) -The reproductive cycle of Artibeus jamaicensis alternates between periods of normal and delayed development and is best described as seasonal polyestry (animaldiversity.org)	
Alicia	Carollia_castanea	Chestnut short-tailed bat	Chiroptera	Phyllostomidae	SouthAmerica	CostaRica	0	non-migratory	non-migratory	non-migratory	NA	"Central American populations of Chestnut Short-tailed Bats in Panama have at least two birth peaks in April-May and August-November, confirming a polyestrous breeding pattern." (source: https://www.gbif.org/species/2433178)	
Alicia	Eptesicus_serotinus	Serotine bat	Chiroptera	Vespertilionidae	Asia	Georgia	0	migratory	non-migratory	regional migrant	up to 300 km (https://animaldiversity.org/accounts/Eptesicus_serotinus/#437D1B9C-14C6-11EC-B2C0-005056AB59D3, citing Godlevska 2020)	-promiscious -breed once a year, mate in Sept-Oct,store sperm through winter to give birth in summer	
Levi	Lasionycteris_noctivagans	Silver-haired bat	Chiroptera	Vespertilionidae	NorthAmerica	Canada_USA	0	migratory	migratory	long-distance migrant	1500 km in Long Point, Ontario (McGuire et al. 2011 Journal of Animal Ecology); 38 to 2,774 km across North American range (Fraser et al. 2017 Journal of Mammalogy)	Thought to mate in fall and store sperm over winter, delaying fertilization and birth until post-migration in spring. However, recent mating observation during spring migratory period (Clerc et al 2022 Western North American Naturalist)	Some populations are year-round residents except at northern latitudes and high altitudes, Fraser et al. found evidence for partial migration in some populations (i.e., migration is facultative)
Alicia	Lasiurus_cinereus	Hoary bat	Chiroptera	Vespertilionidae	NorthAmerica	Canada_USA	0	migratory	migratory	long-distance migrant	-up to 3000 or 4000 km (Cryan 2014) -"Hoary bats can be seen flying in large groups in spring and autumn, during the time of breeding and migration. They are believed to migrate through Florida from late October to late November and from February through early May. Autumn migration occurs in waves, whereas spring migration appears to be less organized. Some hoary bats are believed to remain in the north and hibernate for the winter, rather than moving south of the United States like most do." (Anderson 2002)	-thought to mate around the time of autumn migration. Researchers are uncertain about whether copulation occurs before, during, or after the southward migration... Mating may also occur at southern wintering grounds. (Anderson 2002) -delayed fertilization, sperm stored over winter for spring fertilization	
Alicia	Miniopterus_schreibersii	Common bent-wing bat	Chiroptera	Vespertilionidae	Europe	Spain	0	migratory	non-migratory	regional migrant	-The average distance between summer and winter roots can range from 40 to 100km but longer distances have been recorded. -can migrate multiple times a year depending on the weather conditions	-Mating took place in the fall (late May to early June), with fertilization and development to the blastocyst stage immediately following. Implantation was delayed until August and births occurred in December. Each female usually has one offspring (Nowak, 1997).	
Alicia	Myotis_blythii	Lesser mouse-eared bat	Chiroptera	Vespertilionidae	Europe	France	0	non-migratory	non-migratory	non-migratory	-This species is considered an occasional migrant due to a few recorded distances of 100 - 150 km. More often than not, it has a sedentary behaviour and its summer an winter roosts are usually 15 km apart. (eurobats.org) -These bats don’t make long dislocations, they are non-migratory or occasionally migrant species. (batmonitoring.org)	-The males of this specie usually are not living in colonies or they form small groups near the main maternity colony. The pups are born in the end of May until mid-June. Usually only one pup is born, and it start to fly after 5 or 6 weeks. (batmonitoring.org)	
Alicia	Myotis_daubentonii	Daubenton's bat	Chiroptera	Vespertilionidae	Europe	Finland	0	migratory	non-migratory	regional migrant	-considered non-migratory but will move ¢. 150 - 304 km from maternity roosts to hibernation sites (gbif.org) -large numbers of individuals converge to mate after traveling up to 30 km -Individuals from lowland regions are assumed to move longer distances than those roosting in high mountains. Especially in the north-eastern part ofits distribution, they congregate in winter in large numbers (e. g. 20,000 in Nietoperek, Poland or up to 5000 individuals in Berlin, Germany) (gbif.org)	-Nursery colonies are formed in the summer and they comprise of 20 – 50 females. The males form small separate colonies. The copulation is from fall to spring. The summer roosts in tree holes are changed every 2 – 5 days. The female gives birth to one pup. (batslife.eu) -During mating in September — November (particularly intense in October-November), they are most commonly found at swarming sites (e. g. caves, mines, or buildings) where large numbers of individuals converge to mate after traveling up to 30 km. Maximum reported longevity is c. 4 years, butit is assumed it can live longer similar to some congeners.Within three weeks the young start to fly and after 4 – 6 weeks they are independent. This species lives up to 20 years. (gbif.org)	
Alicia	Myotis_escalerai	Escalera's bat	Chiroptera	Vespertilionidae	Europe	Spain	1	non-migratory	non-migratory	non-migratory	NA	-During the mating season (fall) it makes swarming at the entrance of caves together with other Myotis species.	
Alicia	Myotis_lucifugus	Little brown bat	Chiroptera	Vespertilionidae	NorthAmerica	Canada_USA	0	migratory	non-migratory	regional migrant	-overwinter in hibernacula in the same region as they breed (e.g. temperate) -In the northeast, individuals may migrate hundreds of kilometers between winter and summer habitats; in the west, these bats are believed to hibernate near their summer range (Schmidly 1991). -in Manitoba and Ontario at least, swarming occurs at hibernation sites  -from Norquay et al 2013: "Several studies have reported movements of little brown bats between different hibernacula (from a few kilometers to 805 km for 1 individual—Fenton 1969), between summer roosts and hibernacula (2–241 km—Davis and Hitchcock 1965), and between swarms and both summer roosts and hibernacula (119–805 km, Fenton 1969; 10–455 km, Humphrey and Cope 1976)."	-swarm in fall, near entrance to hibernaculum  -some additional mating in winter, esp. in early hibernation -promiscuous -swarms are likely main source of gene flow -from refs in Norquay et al 2013	-may be high site fidelity to hibernacula, but a small percentage of bats will disperse among hibernacula (see Davy et al, 2015, Norquay et al, 2013)
Alicia	Myotis_myotis	Greater mouse-eared bat	Chiroptera	Vespertilionidae	Europe	France	0	migratory	non-migratory	regional migrant	-"M. myotis is a regional migrant, whose movements between traditional summer and winter roosts usually range from 50 to 100 km" (eurobats.org) -"The distance between their summer and winter accommodations can be over 10 km" (animaldiversity.org)	-breed late spring to summer, fertilization occurs mostly in February (for Apr-Jun births), or in October if birth occurs in winter. 1-2 offspring. (animaldiversity.org)	
Alicia	Myotis_myotis_x_Myotis_blythii		Chiroptera	Vespertilionidae	Europe	France	0	NA	NA	NA	-don't think we can assign a behaviour to the hybrid if there's a possibility that the two parent species have differing behaviours		
Evelien	Myotis_septentrionalis	Northern long-eared bat	Chiroptera	Vespertilionidae	NorthAmerica	Canada_USA	0	migratory	non-migratory	regional migrant 	-up to 56 km between summering and swarming/hiberation sites (Najorsen and Brigham 1993, cited in Caceres & Barclay 2000)	-mating in fall, females store sperm over winter and fertilize single egg in spring  (Caceres & Barclay 2000)	-emerge from hiberation in April/May. -In summer roost alone or females may form colony with other females. -enter winter hibernacula later Aug-Sept, typically roost singly or in small groups (Nordquist and Birney 1985). -Low roost site fidelity. -Pop structuing not explained by geographic location or distance between sties (Johnson et al., 2015 PLOS). -Females roosted in smaller groups during gestation than during lactation, and younger individuals may play role in maintaining connections b/t individuals (more exploratory) (Patriquin et al 2010).
Alicia	Myotis_thysanodes	Fringed myotis	Chiroptera	Vespertilionidae	NorthAmerica	Canada_USA	0	migratory	non-migratory	regional migrant	-highly migratory (animaldiversity,.org) -Fringed bats are known to migrate, but little is known about the magnitude of movements. (iucnredlist.org) -Scant information on hibernating sites suggests this species may migrate only short distances to cave hibernation sites (env.gov.bc.ca) -"The migratory patterns of Myotis thysanodes are  not well known. They do maintain constant, low levels of body fat throughout the spring and summer and put on additional fat rapidly in late summer and early fall, suggesting that colonies migrate to winter hibernacula (Wilson and Ruff 1999). It is not known how far these hibernacula are from breeding grounds, but the distance is not likely to be great given the generally slow, maneuverable, energetically demanding flight of this species. It is therefore likely that M. thysanodes spend  both summer and winter on National Forest System lands in Region 2. On a small scale in their northern range (e.g., South Dakota, Wyoming, and northern Colorado)(P. Brown unpublished data)" (Keinath 2004) -In the temperate portion of its range, Myotis thysanodes likely migrates short distances to winter hibernacula that are lower in elevation and/or more southern than summer roosts. In southern desert areas,  bats may actually move to higher elevations in search of cooler temperatures for hibernation. (Keinath 2004)	-a single young is born in late June or early July. Males and females usually do not associate with one another during summer months and males are not normally found within the maternity roosts. The colonies have usually dispersed by the end of October. (animaldiversity.org)	
Evelien	Nyctalus_lasiopterus	Greater noctule bat	Chiroptera	Vespertilionidae	Europe	Spain	0	migratory	non-migratory	regional migrant	-up to 236 km (https://secemu.org/en/love_has_no_frontiers_greater_noctule_bat_migration/ - can't find paper). -however "These species of Nyctalus occurring in Europe seem to use variable migration strategies in different parts of their ranges." Ibanez et al. 2009)	-segrate sexually during spring and summer to form breeding colonies (Bradbudy 1977, McCracken and Wilkinson 2000). -little known about mating strategies	-largest bat in Europe, also one of the most understudied. -eats lots of migratory passerines (Ibáñez et al. 2001). -study with genetic markers for pop in France (Santos et al. 2016): https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.2330
Evelien	Nyctalus_leisleri	Lesser noctule	Chiroptera	Vespertilionidae	Europe	Northern_Ireland	0	migratory	migratory	long-distance migrant	-record of >1000 km (Wohlgemuth et al. 2004). another one: "perhaps more than 800 km" (https://species.nbnatlas.org/species/NHMSYS0000080185)	-polygynous, males aquire harems of up to 9 females. - mate in late Aug/Sept, and again in spring, females give birth to 1-2 young in late spring, only one litter per year -nursery colonies in summer, likely roost switching and high gene flow, males more dispersive sex, some female philopatry, low genetic relatedness within colonies (Boston et al. 2012). -sex-biased migrations (Ibáñez et al. 2009)	-nursey roots concentrated in northern and central Europe, and winter roosts located in southern Europe (Hutterer et al. 2005)
Evelien	Rhynchonycteris_naso	Proboscis bat	Chiroptera	Emballonuridae	SouthAmerica	CostaRica	0	non-migratory	non-migratory	non-migratory	NA	-polygnous, breeding females mainly mate with dominate males, colony hierarchy (reproductive females rank higher than non-reproductive females and non-dominant males). -one offspring per pregnancy, but can have 2 pregnanices annullay and can be polyestrus. 	-roosts in colonies of 5-11 during day and part of night. when distrubed would fly off quickly together as a group in linear pattern and settle on similar tree (UWI)
Alicia	Thyroptera_tricolor	Spix's disk-winged bat	Chiroptera	Thyropteridae	SouthAmerica	CostaRica	0	non-migratory	non-migratory	non-migratory	NA	-Spix’s disk-winged bats and tend to stay within the same home range and social groups throughout their lives. Although it is suspected that they are polygynous, males do not exhibit mate-guarding behaviors typical of other tropical, polygynous bat species. (animaldiversity.org)	
